iter	RMSE
0	0.4723781412
1	0.4708207839
2	0.4690679548
3	0.4673503201
4	0.4656327947
5	0.4640594382
6	0.462390552
7	0.4606732474
8	0.4590610196
9	0.457573088
10	0.4559436843
11	0.4544201229
12	0.4528617618
13	0.4513346325
14	0.449807791
15	0.4482870753
16	0.4468214345
17	0.4453035654
18	0.4439125501
19	0.442470139
20	0.4410182996
21	0.4396302661
22	0.4382409871
23	0.4369662245
24	0.4356988019
25	0.4344752275
26	0.4331779012
27	0.4319126026
28	0.4305858997
29	0.4293522287
30	0.4281150233
31	0.4268349697
32	0.4255783817
33	0.4244749065
34	0.4232698701
35	0.4221338318
36	0.4210992978
37	0.4199411062
38	0.4189329022
39	0.4178376002
40	0.4167526852
41	0.4156654107
42	0.4146101121
43	0.4135879112
44	0.4125340453
45	0.4115363459
46	0.4105224202
47	0.4094792388
48	0.4084760191
49	0.4075537158
50	0.4065643512
51	0.4056122223
52	0.4046645297
53	0.403684826
54	0.4027166197
55	0.4017876055
56	0.4008624856
57	0.3999662639
58	0.3990957679
59	0.3982368939
60	0.3973740872
61	0.3965243934
62	0.3957138127
63	0.3948618136
64	0.3940356434
65	0.3932319667
66	0.3924149575
67	0.3916087227
68	0.3908343841
69	0.3900318453
70	0.3893157268
71	0.3885369124
72	0.3877764861
73	0.3870206229
74	0.3862806872
75	0.3856181401
76	0.3849169366
77	0.3842243859
78	0.3835060762
79	0.3827873331
80	0.3820908694
81	0.3814156841
82	0.3807819248
83	0.380106441
84	0.3794379556
85	0.3787794188
86	0.3781559698
87	0.3775376434
88	0.3768737593
89	0.3762985527
90	0.3756931385
91	0.3750483469
92	0.374462804
93	0.3738929464
94	0.3733307487
95	0.3727682577
96	0.3721836682
97	0.3716064292
98	0.3710504184
99	0.3705182989
100	0.3699481744
101	0.369374588
102	0.3688153525
103	0.3682760018
104	0.3677149988
105	0.3671927863
106	0.3666594271
107	0.3661627155
108	0.3656816842
109	0.3651544194
110	0.3646767051
111	0.3642099502
112	0.3637308423
113	0.3632531288
114	0.3627478031
115	0.3623260432
116	0.3618702779
117	0.3614026712
118	0.3609028733
119	0.3604020904
120	0.3599691077
121	0.3595244342
122	0.3590633501
123	0.3585932179
124	0.3582051167
125	0.3577892805
126	0.357325422
127	0.356903046
128	0.3565249527
129	0.3560985449
130	0.3557211691
131	0.355332072
132	0.3549201785
133	0.3545631419
134	0.3541632219
135	0.3537990081
136	0.3532518722
137	0.3528608556
138	0.3524513165
139	0.35208708
140	0.3517151487
141	0.3513462941
142	0.3510039832
143	0.3506845734
144	0.3502982102
145	0.3500020726
146	0.3496324191
147	0.3492562045
148	0.3488721052
149	0.3485198006
150	0.3481810743
151	0.3478561904
152	0.3475236092
153	0.3471943673
154	0.3468596584
155	0.3465229386
156	0.346176705
157	0.3458769352
158	0.3455415381
159	0.3452355945
160	0.3449242181
161	0.3446262505
162	0.3442972944
163	0.3440308049
164	0.3437645356
165	0.3434686969
166	0.3431604004
167	0.3428535684
168	0.3425338371
169	0.3422231462
170	0.3419719306
171	0.3416808718
172	0.3414323689
173	0.3411847401
174	0.340917534
175	0.340670393
176	0.3403731978
177	0.3400757743
178	0.3396630811
179	0.3393565531
180	0.3390736948
181	0.338796497
182	0.3384107165
183	0.338151968
184	0.3378851672
185	0.3376354243
186	0.3374387086
187	0.3370651908
188	0.336823166
189	0.3365477975
190	0.336316424
191	0.3360926868
192	0.3358707359
193	0.3356491277
194	0.3353931292
195	0.3352065063
196	0.3349959169
197	0.3347971787
198	0.3345903515
199	0.3343752009
200	0.3341758863
201	0.3338272938
202	0.333631808
203	0.3334386876
204	0.3331944475
205	0.3329424018
206	0.3327527224
207	0.3325600522
208	0.3323210565
209	0.3320980248
210	0.3317583819
211	0.3313991898
212	0.3312452767
213	0.3310113182
214	0.330817445
215	0.3304494596
216	0.3302578659
217	0.3300690197
218	0.3298111778
219	0.3294705416
220	0.3292796067
221	0.3288977461
222	0.328715152
223	0.3285177067
224	0.3283541468
225	0.3281555569
226	0.3279061442
227	0.3277307206
228	0.327549819
229	0.3273566253
230	0.3271896078
231	0.3269953347
232	0.3268487609
233	0.3266708681
234	0.3265257284
235	0.326368415
236	0.3261379993
237	0.3259578538
238	0.3257795971
239	0.3255488248
240	0.3253795225
241	0.3251648695
242	0.3250122299
243	0.3248291922
244	0.324682371
245	0.3245191568
246	0.324291997
247	0.3240726393
248	0.3239265033
249	0.3237433353
250	0.3234671524
251	0.3233132616
252	0.3230957001
253	0.3228356362
254	0.322701707
255	0.3225296259
256	0.3223423693
257	0.3222105831
258	0.3219080074
259	0.321758003
260	0.3215786095
261	0.3214223153
262	0.3212475724
263	0.3210842834
264	0.3209269519
265	0.3207188654
266	0.3206049614
267	0.320458821
268	0.3203352536
269	0.3201577934
270	0.3199666121
271	0.3198423857
272	0.3196855287
273	0.3195335212
274	0.3193986868
275	0.3192117129
276	0.3191136986
277	0.318952853
278	0.3188530379
279	0.3187196061
280	0.3186229765
281	0.3185101521
282	0.3183331563
283	0.3182287433
284	0.3180779465
285	0.3179658968
286	0.3178342129
287	0.3177070964
288	0.3174436687
289	0.3173348342
290	0.3171860305
291	0.3170607363
292	0.3167682302
293	0.3166656773
294	0.3165408572
295	0.3164158084
296	0.3162774618
297	0.316157782
298	0.3160424759
299	0.3158415905
300	0.315728115
301	0.315577312
302	0.3154415888
303	0.3153313446
304	0.3152312939
305	0.3151250082
306	0.31486677
307	0.3147795983
308	0.3146270717
309	0.3145386873
310	0.3144097787
311	0.3143382676
312	0.3141841508
313	0.3140851603
314	0.313972186
315	0.3137186885
316	0.3136231164
317	0.3134308633
318	0.3132635417
319	0.3131459572
320	0.312993502
321	0.3128783943
322	0.312752569
323	0.3126440248
324	0.3125146007
325	0.3124264124
326	0.3121532403
327	0.3120168896
328	0.3119011312
329	0.311805965
330	0.31169374
331	0.3116131663
332	0.3115136495
333	0.311435505
334	0.3113392682
335	0.3111897784
336	0.3110462883
337	0.3109034726
338	0.3107717947
339	0.3106887101
340	0.3105635715
341	0.3104341661
342	0.3103439829
343	0.3102341154
344	0.3099980861
345	0.3099097686
346	0.3098265939
347	0.3097221508
348	0.3096383477
349	0.3095382273
350	0.3093204532
351	0.3091966036
352	0.3091127919
353	0.3090164105
354	0.3089212758
355	0.3088296866
356	0.3087175293
357	0.3085851855
358	0.3084545551
359	0.3083654605
360	0.308292048
361	0.3081549179
362	0.3080297479
363	0.3079275803
364	0.3078157827
365	0.3077111809
366	0.3076331404
367	0.3075169021
368	0.307446535
369	0.3073670205
370	0.3072471908
371	0.3071397743
372	0.3070494661
373	0.306944695
374	0.3068650866
375	0.3067800452
376	0.3067077341
377	0.3065939845
378	0.3065162608
379	0.3064083334
380	0.306333614
381	0.3061153206
382	0.3060178945
383	0.3059246787
384	0.3056904536
385	0.3055844382
386	0.3054787462
387	0.3053952405
388	0.3052720849
389	0.3052072369
390	0.3049716295
391	0.3048902324
392	0.3047798117
393	0.3046798634
394	0.3046143614
395	0.3045000105
396	0.3044258823
397	0.304356982
398	0.3042797335
399	0.3040520759
400	0.3039640202
401	0.3038875157
402	0.3038001365
403	0.3037243824
404	0.3036124825
405	0.3035485526
406	0.303457128
407	0.3033816281
408	0.3033203987
409	0.3032674254
410	0.3031862953
411	0.3031162112
412	0.3030180622
413	0.3029355288
414	0.3028397355
415	0.302737591
416	0.3026466161
417	0.3024171853
418	0.3023509481
419	0.3022789945
420	0.3021994805
421	0.3021404818
422	0.3020903665
423	0.3020204341
424	0.3019490851
425	0.3018475047
426	0.3017698545
427	0.3016684919
428	0.3015991206
429	0.3015294048
430	0.3013365092
431	0.3012817948
432	0.3012156716
433	0.3011490536
434	0.3010674034
435	0.3009948839
436	0.3009091944
437	0.3006833303
438	0.3006219369
439	0.300564513
440	0.3004574597
441	0.3003858451
442	0.3002926648
443	0.3002197651
444	0.3001815566
445	0.3001234635
446	0.3000696717
447	0.2999896782
448	0.2999231175
449	0.299864716
450	0.2998108193
451	0.2997129028
452	0.2996627002
453	0.2996113584
454	0.2994354754
455	0.2993741135
456	0.299173941
457	0.2990250482
458	0.2989552632
459	0.2988756892
460	0.2988060855
461	0.2987584374
462	0.2986748044
463	0.2985931071
464	0.2983883492
465	0.2982410126
466	0.2981779232
467	0.2981253634
468	0.2980541656
469	0.2979713555
470	0.2978761543
