iter	Passed	Remaining
0	49	148894
1	50	76401
2	52	52043
3	53	40072
4	54	32748
5	55	27904
6	57	24445
7	59	22070
8	60	20028
9	61	18472
10	63	17199
11	64	16090
12	65	15138
13	67	14320
14	68	13655
15	69	13039
16	71	12496
17	72	12009
18	73	11556
19	74	11172
20	76	10806
21	77	10545
22	80	10435
23	82	10272
24	84	10069
25	86	9837
26	87	9608
27	88	9396
28	89	9201
29	91	9016
30	92	8873
31	94	8730
32	95	8575
33	96	8426
34	98	8311
35	99	8205
36	101	8099
37	102	8000
38	104	7912
39	106	7891
40	108	7827
41	110	7773
42	116	8000
43	118	7946
44	119	7864
45	121	7782
46	123	7737
47	124	7653
48	126	7590
49	128	7552
50	129	7491
51	131	7469
52	133	7410
53	134	7351
54	136	7302
55	139	7323
56	141	7296
57	144	7308
58	146	7280
59	148	7300
60	150	7268
61	152	7222
62	154	7182
63	156	7187
64	158	7141
65	159	7112
66	161	7079
67	163	7037
68	164	6989
69	165	6942
70	169	7009
71	171	6978
72	172	6936
73	174	6891
74	175	6847
75	177	6811
76	178	6776
77	180	6754
78	181	6717
79	183	6684
80	184	6666
81	187	6657
82	188	6631
83	190	6601
84	191	6582
85	193	6563
86	195	6541
87	197	6523
88	198	6498
89	200	6486
90	202	6475
91	204	6469
92	205	6435
93	207	6406
94	208	6389
95	210	6365
96	211	6342
97	213	6316
98	216	6329
99	217	6311
100	219	6306
101	222	6325
102	224	6324
103	226	6308
104	229	6325
105	231	6333
106	234	6348
107	236	6345
108	239	6355
109	243	6389
110	246	6417
111	249	6446
112	252	6451
113	253	6428
114	255	6405
115	257	6412
116	260	6413
117	262	6406
118	263	6383
119	267	6421
120	269	6406
121	271	6400
122	273	6399
123	275	6388
124	278	6416
125	280	6400
126	282	6385
127	284	6377
128	286	6386
129	289	6401
130	292	6415
131	297	6461
132	300	6468
133	301	6446
134	303	6430
135	304	6418
136	306	6401
137	309	6414
138	311	6413
139	313	6411
140	316	6417
141	318	6407
142	319	6387
143	320	6366
144	322	6347
145	324	6336
146	326	6339
147	329	6353
148	332	6356
149	334	6353
150	336	6343
151	338	6334
152	339	6320
153	341	6304
154	342	6288
155	344	6278
156	346	6268
157	347	6254
158	350	6263
159	352	6250
160	356	6285
161	357	6268
162	359	6259
163	361	6250
164	362	6236
165	364	6219
166	365	6203
167	367	6192
168	369	6182
169	370	6165
170	372	6160
171	374	6149
172	375	6137
173	378	6145
174	381	6152
175	382	6141
176	384	6134
177	386	6132
178	390	6149
179	392	6143
180	393	6133
181	395	6124
182	397	6112
183	398	6099
184	400	6092
185	402	6089
186	405	6098
187	407	6095
188	408	6080
189	410	6063
190	411	6051
191	412	6037
192	415	6044
193	416	6029
194	418	6018
195	419	6005
196	422	6006
197	424	6011
198	426	5998
199	427	5983
200	428	5969
201	430	5961
202	431	5948
203	433	5942
204	434	5929
205	436	5919
206	437	5906
207	438	5892
208	440	5881
209	442	5881
210	444	5874
211	448	5898
212	449	5886
213	451	5875
214	452	5865
215	454	5860
216	456	5848
217	457	5834
218	458	5823
219	459	5811
220	463	5823
221	465	5824
222	467	5815
223	468	5804
224	470	5797
225	472	5793
226	473	5784
227	474	5772
228	476	5760
229	477	5750
230	478	5740
231	480	5729
232	481	5717
233	482	5706
234	484	5704
235	486	5696
236	488	5693
237	489	5683
238	491	5676
239	493	5669
240	494	5662
241	496	5657
242	499	5662
243	500	5651
244	501	5640
245	503	5631
246	504	5622
247	506	5622
248	508	5618
249	509	5608
250	512	5611
251	514	5611
252	515	5600
253	517	5591
254	518	5581
255	520	5575
256	521	5566
257	524	5571
258	525	5562
259	526	5552
260	528	5542
261	529	5535
262	531	5535
263	533	5530
264	535	5530
265	537	5522
266	538	5512
267	540	5505
268	541	5498
269	543	5496
270	544	5486
271	546	5481
272	548	5475
273	549	5465
274	550	5458
275	552	5452
276	554	5449
277	556	5445
278	557	5441
279	559	5435
280	561	5428
281	562	5420
282	564	5421
283	566	5413
284	567	5406
285	568	5397
286	570	5394
287	571	5385
288	573	5377
289	574	5368
290	575	5359
291	576	5350
292	578	5342
293	580	5342
294	582	5341
295	584	5335
296	585	5327
297	586	5319
298	588	5312
299	589	5307
300	591	5303
301	593	5303
302	595	5296
303	596	5289
304	597	5280
305	598	5272
306	600	5263
307	601	5254
308	602	5246
309	603	5237
310	604	5230
311	606	5225
312	608	5220
313	609	5212
314	610	5204
315	612	5202
316	614	5197
317	615	5190
318	617	5192
319	619	5186
320	620	5179
321	622	5177
322	624	5174
323	625	5169
324	627	5164
325	628	5158
326	630	5150
327	631	5147
328	633	5144
329	635	5139
330	636	5136
331	638	5131
332	639	5124
333	641	5119
334	642	5114
335	644	5109
336	645	5103
337	647	5100
338	649	5094
339	651	5094
340	654	5104
341	656	5098
342	657	5091
343	658	5084
344	659	5077
345	661	5075
346	663	5071
347	664	5064
348	665	5058
349	667	5051
350	668	5044
351	670	5041
352	673	5050
353	674	5043
354	676	5038
355	677	5032
356	679	5029
357	680	5023
358	682	5022
359	684	5022
360	686	5018
361	687	5011
362	688	5005
363	690	5000
364	692	5002
365	694	4998
366	696	4995
367	698	4993
368	700	4991
369	701	4988
370	703	4981
371	704	4976
